,otv,debris1,debris2,debris3,debris4,debris5,debris6,debris7,debris8,debris9,debris10
0,[-1.29787383 -0.00462874  0.00321143],[-1.07319634  0.58268906  0.00429608],[-1.29787383 -0.00462874  0.00321143],[0.38490541 0.98897247 0.11258578],[-0.58189216 -1.02430302 -0.07204514],[ 0.3030732  -1.04374324 -0.04675415],[-0.78672475 -1.00469491 -0.05887823],[-1.2861605  -0.00314471  0.00143543],[-0.10399232 -1.26080995 -0.09091287],[0.48258796 1.03663389 0.14765247],[-1.14201531  0.1679967   0.0078905 ]
1,[-1.2978568  -0.00824166  0.00283425],[-1.07497824  0.57939525  0.00427905],[-1.2978568  -0.00824166  0.00283425],[0.38116665 0.99039483 0.11280222],[-0.57857497 -1.02617028 -0.0721888 ],[ 0.30688188 -1.04263188 -0.04670697],[-0.78383699 -1.00693901 -0.05905715],[-1.28614663e+00 -6.78857443e-03  1.24014898e-03],[-0.10032982 -1.26110233 -0.09097327],[0.47908639 1.03820912 0.14798742],[-1.14257011  0.16418723  0.00776034]
2,[-1.2978296  -0.01185453  0.00245704],[-1.07675003  0.576096    0.00426197],[-1.2978296  -0.01185453  0.00245704],[0.37742251 0.99180324 0.11301708],[-0.57525176 -1.02802685 -0.07233171],[ 0.31068649 -1.04150665 -0.04665918],[-0.78094279 -1.00917483 -0.05923558],[-1.28612241e+00 -1.04323808e-02  1.04485735e-03],[-0.09666648 -1.26138411 -0.09103291],[0.47557946 1.03977275 0.14832072],[-1.14311218  0.16037592  0.00763009]
3,[-1.29779223 -0.01546729  0.00207981],[-1.07851169  0.57279133  0.00424486],[-1.29779223 -0.01546729  0.00207981],[0.37367305 0.99319767 0.11323034],[-0.57192255 -1.02987271 -0.07247386],[ 0.31448695 -1.04036756 -0.04661076],[-0.77804217 -1.01140237 -0.05941352],[-1.28608784e+00 -1.40761032e-02  8.49557309e-04],[-0.09300233 -1.26165532 -0.09109178],[0.47206721 1.04132475 0.14865236],[-1.14364153  0.15656284  0.00749976]
4,[-1.29774469 -0.01907994  0.00170257],[-1.08026321  0.56948127  0.0042277 ],[-1.29774469 -0.01907994  0.00170257],[0.36991833 0.99457811 0.11344201],[-0.56858738 -1.03170784 -0.07261526],[ 0.31828324 -1.03921464 -0.04656173],[-0.77513516 -1.01362159 -0.05959098],[-1.28604291e+00 -1.77197122e-02  6.54250427e-04],[-0.08933739 -1.26191593 -0.09114989],[0.46854969 1.04286512 0.14898234],[-1.14415814  0.15274801  0.00736934]
5,[-1.29768699 -0.02269244  0.00132531],[-1.08200457  0.56616586  0.0042105 ],[-1.29768699 -0.02269244  0.00132531],[0.3661584  0.99594453 0.11365208],[-0.56524629 -1.03353223 -0.07275591],[ 0.32207529 -1.03804788 -0.04651207],[-0.77222178 -1.01583249 -0.05976794],[-1.28598763e+00 -2.13631786e-02  4.58938279e-04],[-0.0856717  -1.26216595 -0.09120723],[0.46502694 1.04439384 0.14931066],[-1.14466202  0.14893148  0.00723884]
6,[-1.29761912e+00 -2.63047607e-02  9.48045327e-04],[-1.08373575  0.56284512  0.00419327],[-1.29761912e+00 -2.63047607e-02  9.48045327e-04],[0.3623933  0.99729692 0.11386054],[-0.56189931 -1.03534585 -0.07289579],[ 0.32586305 -1.03686732 -0.0464618 ],[-0.76930206 -1.01803504 -0.05994442],[-1.28592200e+00 -2.50064731e-02  2.63622437e-04],[-0.0820053  -1.26240538 -0.09126381],[0.46149898 1.04591089 0.1496373 ],[-1.14515314  0.14511329  0.00710826]
7,[-1.29754109e+00 -2.99168752e-02  5.70770675e-04],[-1.08545674  0.55951909  0.004176  ],[-1.29754109e+00 -2.99168752e-02  5.70770675e-04],[0.3586231  0.99863525 0.11406741],[-0.55854648 -1.03714868 -0.07303492],[ 0.32964648 -1.03567297 -0.04641091],[-0.76637601 -1.02022923 -0.0601204 ],[-1.28584602e+00 -2.86495663e-02  6.83044722e-05],[-0.07833821 -1.2626342  -0.09131962],[0.45796587 1.04741625 0.14996228],[-1.14563152  0.14129348  0.0069776 ]
8,[-1.29745289e+00 -3.35287553e-02  1.93491551e-04],[-1.08716753  0.5561878   0.00415868],[-1.29745289e+00 -3.35287553e-02  1.93491551e-04],[0.35484785 0.99995952 0.11427266],[-0.55518783 -1.03894071 -0.07317329],[ 0.33342553 -1.03446484 -0.0463594 ],[-0.76344367 -1.02241503 -0.06029589],[-1.28575968e+00 -3.22924288e-02 -1.27014042e-04],[-0.07467046 -1.26285244 -0.09137467],[0.45442765 1.0489099  0.15028558],[-1.14609714  0.1374721   0.00684686]
9,[-1.29735453e+00 -3.71403728e-02 -1.83789087e-04],[-1.08886809  0.55285127  0.00414133],[-1.29735453e+00 -3.71403728e-02 -1.83789087e-04],[0.35106759 1.00126969 0.11447631],[-0.55182339 -1.04072192 -0.07331089],[ 0.33720014 -1.03324294 -0.04630727],[-0.76050506 -1.02459244 -0.06047088],[-1.28566300e+00 -3.59350314e-02 -3.22331534e-04],[-0.07100208 -1.26306007 -0.09142895],[0.45088434 1.05039183 0.1506072 ],[-1.14655     0.1336492   0.00671605]
10,[-1.29724601e+00 -4.07516993e-02 -5.61068287e-04],[-1.09055841  0.54950955  0.00412394],[-1.29724601e+00 -4.07516993e-02 -5.61068287e-04],[0.34728239 1.00256575 0.11467834],[-0.54845321 -1.04249229 -0.07344773],[ 0.34097026 -1.0320073  -0.04625453],[-0.7575602  -1.02676142 -0.06064538],[-1.28555597e+00 -3.95773447e-02 -5.17646431e-04],[-0.06733311 -1.2632571  -0.09148246],[0.447336   1.05186203 0.15092713],[-1.14699009  0.1298248   0.00658516]
11,[-1.29712732e+00 -4.43627066e-02 -9.38343091e-04],[-1.09223847  0.54616266  0.00410651],[-1.29712732e+00 -4.43627066e-02 -9.38343091e-04],[0.3434923  1.00384769 0.11487876],[-0.54507732 -1.04425179 -0.07358381],[ 0.34473585 -1.03075794 -0.04620117],[-0.75460911 -1.02892197 -0.06081938],[-1.28543859e+00 -4.32193394e-02 -7.12957162e-04],[-0.06366357 -1.26344352 -0.0915352 ],[0.44378266 1.05332047 0.15124538],[-1.14741742  0.12599896  0.0064542 ]
